Crypton name, Crypton class, Discovered in
Crypton-1_NV,CryptonA,Nematostella vectensis
Crypton-1_NV,CryptonA,Nematostella vectensis
Crypton-1_NVi,CryptonI,Nasonia vitripennis
Crypton-1_NVi,CryptonI,Nasonia vitripennis
Crypton-1_SP,CryptonA,Strongylocentrotus purpuratus
Crypton-1_TC,CryptonI,Tribolium castaneum
Crypton-2_NV,Crypton,Nematostella vectensis
Crypton-2_TCa,CryptonI,Tribolium castaneum
CRYPTON-CN1,CryptonF,Cryptococcus sp.
CryptonA-1N1_OL,CryptonA,Oryzias latipes
CryptonA-1N2_OL,CryptonA,Oryzias latipes
CryptonA-1_LG,CryptonA,Lottia gigantea
CryptonA-1_OL,CryptonA,Oryzias latipes
CryptonA-1_SK,CryptonA,Saccoglossus kowalevskii
CryptonA-2N1_SP,CryptonA,Strongylocentrotus purpuratus
CryptonA-2N2_SP,CryptonA,Strongylocentrotus purpuratus
CryptonA-2N3_SP,CryptonA,Strongylocentrotus purpuratus
CryptonA-2_SK,CryptonA,Saccoglossus kowalevskii
CryptonA-2_SP,CryptonA,Strongylocentrotus purpuratus
CryptonA-3_SK,CryptonA,Saccoglossus kowalevskii
CryptonF-1_ACap,CryptonF,Histoplasma capsulatum
CryptonF-1_CGlo,CryptonF,Chaetomium globosum
CryptonF-1_CI,CryptonF,Coccidioides
CryptonF-1_MC,CryptonF,Arthroderma otae CBS 113480
CryptonF-1_NF,CryptonF,Aspergillus fischeri NRRL 181
CryptonF-1_PI,CryptonF,Phytophthora infestans
CryptonF-1_PR,CryptonF,Phytophthora ramorum
CryptonF-1_PS,CryptonF,Phytophthora sojae
CryptonF-1_RO,CryptonF,Rhizopus delemar RA 99-880
CryptonF-1_TS,CryptonF,Talaromyces stipitatus ATCC 10500
CryptonF-2_ACap,CryptonF,Histoplasma capsulatum
CryptonF-2_CGlo,CryptonF,Chaetomium globosum
CryptonF-2_PI,CryptonF,Phytophthora infestans
CryptonF-2_PS,CryptonF,Phytophthora sojae
CryptonF-2_TS,CryptonF,Talaromyces stipitatus ATCC 10500
CryptonF-3_PI,CryptonF,Phytophthora infestans
CryptonF-3_PS,CryptonF,Phytophthora sojae
CryptonF-4_PI,CryptonF,Phytophthora infestans
CryptonF-4_PS,CryptonF,Phytophthora sojae
CryptonF-5_PI,CryptonF,Phytophthora infestans
CryptonF-5_PS,CryptonF,Phytophthora sojae
CryptonF-6_PI,CryptonF,Phytophthora infestans
CryptonH-10_HM,Crypton,Hydra vulgaris
CryptonH-11_HM,Crypton,Hydra vulgaris
CryptonH-12_HM,Crypton,Hydra vulgaris
CryptonH-13_HM,Crypton,Hydra vulgaris
CryptonH-1_DR,Crypton,Danio rerio
CryptonH-1_HM,Crypton,Hydra vulgaris
CryptonH-2_HM,Crypton,Hydra vulgaris
CryptonH-3_HM,Crypton,Hydra vulgaris
CryptonH-4_HM,Crypton,Hydra vulgaris
CryptonH-5_HM,Crypton,Hydra vulgaris
CryptonH-6_HM,Crypton,Hydra vulgaris
CryptonH-7_HM,Crypton,Hydra vulgaris
CryptonH-8_HM,Crypton,Hydra vulgaris
CryptonH-9_HM,Crypton,Hydra vulgaris
